@RELATION datos_hiper_quincena

@ATTRIBUTE kpi_tiket_medio REAL
@ATTRIBUTE kpi_cifra_ventas REAL
@ATTRIBUTE kpi_margen_comercial REAL
@ATTRIBUTE KPI_ROTACION_STOCK REAL
@ATTRIBUTE KPI_COEF_RENTABILIDAD REAL
@ATTRIBUTE KPI_COBERTURA_STOCK REAL
@ATTRIBUTE cantidad REAL
@ATTRIBUTE kpi_mes REAL
@ATTRIBUTE kpi_anho REAL
@ATTRIBUTE kpi_quincena REAL
@ATTRIBUTE resultado {'Nada','Medio','Mucho'}

@DATA
32635,9660000,2350182,2.22,5210042,1.45,920,12,2013,23,Medio
43853,17892000,4352945,2.27,9863589,0.36,1704,12,2013,24,Mucho
33945,8893500,2163700,1.04,2248655,1.12,847,1,2014,1,Medio
36201,9702000,2360400,3.16,7469211,0.33,924,1,2014,2,Mucho
32603,6520500,1586373,3.19,5064974,0.18,621,2,2014,3,Mucho
28622,3864000,940073,1.23,1153156,0.22,368,2,2014,4,Nada
33780,5134500,1249173,1.04,1295537,0.65,489,3,2014,5,Nada
31283,4536000,1103564,0.86,952526,1.01,432,3,2014,6,Nada
32773,5407500,1315591,1.00,1311770,1.10,515,4,2014,7,Nada
32480,4872000,1185309,1.41,1676779,1.25,464,4,2014,8,Nada
22972,4158000,1011600,2.57,2601257,0.21,396,5,2014,9,Nada
52191,5323500,1380882,0.91,1255797,0.46,507,5,2014,10,Nada
31500,3748500,1061264,0.49,522221,1.98,357,6,2014,11,Nada
27227,2341500,662918,0.51,340232,1.30,223,6,2014,12,Mucho
30504,4179000,1183145,3.24,3828389,0.89,398,7,2014,13,Nada
34173,3759000,1064128,1.04,1110665,-0.23,358,7,2014,14,Nada
35964,6006000,1700400,0.67,1142925,2.34,572,8,2014,15,Medio
34024,7077000,2003618,1.26,2521828,2.12,674,8,2014,16,Medio
33912,5019000,1304793,1.79,2335921,0.25,478,9,2014,17,Nada
31582,4042500,1047900,0.66,689644,0.69,385,9,2014,18,Nada
31080,4662000,1208487,0.87,1057278,1.50,444,10,2014,19,Nada
40381,9166500,2376147,1.55,3694348,0.53,873,10,2014,20,Mucho
35027,4483500,1162216,0.65,750214,1.54,427,11,2014,21,Medio
34536,7287000,1807898,1.46,2635885,0.77,694,11,2014,22,Medio
33329,5932500,1399827,0.43,606753,0.76,565,12,2014,23,Nada
46625,11749500,3045715,0.75,2285818,3.72,1119,12,2014,24,Mucho
35418,7119000,1845393,1.26,2316993,1.11,678,1,2015,1,Medio
35831,5733000,1416360,0.84,1193414,0.26,546,1,2015,2,Nada
36869,6489000,1578709,0.41,643563,1.40,618,2,2015,3,Medio
37154,3381000,822564,0.18,149136,2.85,322,2,2015,4,Medio
51569,6394500,1555718,0.46,722955,3.26,609,3,2015,5,Mucho
62005,5890500,1204809,0.52,631385,1.91,561,3,2015,6,Medio
47136,4336500,732136,0.44,325657,2.28,413,4,2015,7,Medio
63845,7214500,1306136,0.92,1201432,1.47,677,4,2015,8,Medio
52088,5313000,1281000,0.92,1174250,1.36,462,5,2015,9,Nada
55488,4439000,1070273,0.88,938921,0.49,386,5,2015,10,Nada
43262,2725500,657136,0.49,318815,1.22,237,6,2015,11,Mucho
40010,1920500,463045,0.65,301476,0.98,167,6,2015,12,Mucho
48524,1989500,494864,0.21,104214,0.60,173,7,2015,13,Medio
44060,3657000,910636,0.24,219630,7.46,318,7,2015,14,Medio
43151,4703500,1171227,0.43,503185,5.25,409,8,2015,15,Medio
45633,4289500,1112682,0.28,314179,2.51,373,8,2015,16,Nada
38746,2518500,726682,0.12,90141,5.15,219,9,2015,17,Medio
42215,3335000,962273,0.20,189385,4.70,290,9,2015,18,Medio
45253,3484500,1005409,0.26,263415,4.44,303,10,2015,19,Medio
56490,5649000,1434273,0.35,497721,3.60,524,10,2015,20,Nada
57332,6478500,1598591,0.37,585707,5.41,617,11,2015,21,Medio
41204,5356500,1125136,0.49,548472,2.82,535,11,2015,22,Medio
45506,7190000,1503364,0.84,1263493,1.50,719,12,2015,23,Medio
63301,19560000,4089818,3.11,12738351,1.27,1956,12,2015,24,Medio
41393,11590000,2423364,1.29,3119021,0.36,1159,1,2016,1,Mucho
46068,13590000,2841545,1.85,5243259,1.11,1359,1,2016,2,Medio
41216,9150000,1913182,1.26,2409582,0.04,915,2,2016,3,Mucho
38324,6860000,1434364,0.65,931352,1.09,686,2,2016,4,Medio
45287,7110000,1486636,0.97,1435164,0.73,711,3,2016,5,Medio
39797,5890000,1231545,0.37,457220,0.92,589,3,2016,6,Mucho
47192,6890000,1440636,0.33,478938,3.65,689,4,2016,7,Medio
45667,8220000,1718727,0.60,1039583,2.68,822,4,2016,8,Mucho
37212,6140000,1283818,0.90,1154121,1.41,614,5,2016,9,Nada
34245,5308000,906727,1.08,981748,0.53,530,5,2016,10,Nada
43455,4389000,1070045,0.51,544230,0.92,399,6,2016,11,Nada
39160,4895000,1193409,0.58,688803,1.88,445,6,2016,12,Medio
35270,6666000,1625182,0.92,1491083,1.26,606,7,2016,13,Medio
42251,8239000,2008682,2.02,4060736,1.53,749,7,2016,14,Medio
35526,7425000,1810227,3.65,6604883,-0.01,675,8,2016,15,Mucho
45753,8327000,2030136,1.45,2944087,0.55,757,8,2016,16,Mucho
41521,8844000,2156182,1.42,3052060,0.92,804,9,2016,17,Medio
38634,6336000,1544727,1.43,2210591,0.62,576,9,2016,18,Medio
