@RELATION datos_hiper_semanal

@ATTRIBUTE kpi_tiket_medio REAL
@ATTRIBUTE kpi_cifra_ventas REAL
@ATTRIBUTE kpi_margen_comercial REAL
@ATTRIBUTE kpi_rotacion_stock REAL
@ATTRIBUTE kpi_coef_rentabilidad REAL
@ATTRIBUTE kpi_cobertura_stock REAL
@ATTRIBUTE cantidad REAL
@ATTRIBUTE kpi_mes REAL
@ATTRIBUTE kpi_anho REAL
@ATTRIBUTE kpi_semana REAL
@ATTRIBUTE resultado {'Nada','Medio','Mucho'}

@DATA
53944,4315500,1118667,1.93,2163634,0.18,411,10,2014,43,Nada
33577,3055500,792049,0.48,376920,1.28,291,10,2014,44,Mucho
35850,2509500,650515,0.33,215486,2.43,239,11,2014,45,Medio
33688,1617000,419160,0.29,122954,1.92,154,11,2014,46,Medio
33000,2541000,658680,0.74,487463,1.96,242,11,2014,47,Nada
36944,3990000,971313,0.97,943987,0.97,380,11,2014,48,Nada
32712,2551500,600431,0.59,354568,2.23,243,11,2014,49,Nada
34183,3076500,723976,2.92,2110697,0.86,293,12,2014,50,Nada
34529,3591000,909284,0.38,342483,-0.15,342,12,2014,51,Mucho
51469,5764500,1494278,0.35,516761,6.36,549,12,2014,52,Nada
47979,3454500,895478,0.30,268807,3.33,329,12,2014,53,Medio
49596,2331000,604244,0.29,174664,2.16,222,1,2015,1,Medio
33758,3139500,813824,0.59,479474,1.79,299,1,2015,2,Nada
27794,2362500,612409,0.92,561271,1.26,225,1,2015,3,Nada
38303,2719500,671831,0.34,230928,0.53,259,1,2015,4,Mucho
35377,2299500,559445,0.18,99245,5.26,219,1,2015,5,Medio
39070,3360000,817455,0.34,279771,4.67,320,2,2015,6,Medio
35473,2625000,638636,0.18,115863,2.91,250,2,2015,7,Medio
38500,1963500,477700,0.10,47277,7.53,187,2,2015,8,Medio
34313,1921500,467482,0.11,50131,7.13,183,2,2015,9,Medio
44625,2142000,521127,0.13,70264,7.81,204,3,2015,10,Medio
63356,3738000,909418,0.29,262573,7.37,356,3,2015,11,Medio
48435,3003000,730600,0.31,229114,4.26,286,3,2015,12,Medio
74550,2982000,528473,0.29,154410,2.73,284,3,2015,13,Medio
37406,1197000,202091,0.10,20607,3.81,114,3,2015,14,Medio
38659,1701000,287182,0.17,47473,4.65,162,4,2015,15,Medio
