KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
1.143,64000,51.045,2.000,65338,5.333,16,2013,12,Nada
1.143,64000,51.705,1.000,33091,0.000,16,2014,1,Mucho
1.074,116000,51.705,0.983,58961,2.341,29,2014,2,Medio
1.048,88000,51.705,1.375,62562,1.328,22,2014,3,Poco
1.333,16000,51.705,1.333,11030,0.224,4,2014,4,Medio
1.000,16000,48.400,0.174,1347,0.055,4,2014,5,Medio
1.000,32000,45.096,0.190,2749,4.500,8,2014,6,Nada
1.000,8000,45.096,0.053,190,7.313,2,2014,7,Nada
1.125,36000,45.096,0.277,4496,7.929,9,2014,8,Nada
2.571,72000,45.096,1.059,34379,4.421,18,2014,9,Nada
1.200,24000,45.096,2.000,21646,0.621,6,2014,10,Medio
1.182,52000,40.493,2.364,49769,0.000,13,2014,11,Medio
1.000,56000,37.432,0.500,10481,0.892,14,2014,12,Medio
1.136,100000,35.606,0.769,27389,4.091,25,2015,1,Poco
1.000,32000,35.606,0.500,5697,1.154,8,2015,2,Poco
1.714,48000,35.606,2.000,34182,0.766,12,2015,3,Medio
1.600,32000,35.606,1.000,11394,0.000,8,2015,4,Medio
3.500,56000,26.136,1.556,22768,2.400,14,2015,6,Poco
0.000,0,0.000,0.000,0,0.273,0,2015,7,Nada
1.000,4000,28.030,0.074,83,0.429,1,2015,8,Medio
1.333,16000,27.083,0.114,495,5.000,4,2015,9,Nada
1.000,28000,24.242,0.171,1159,27.000,7,2015,10,Nada
1.000,24000,24.242,0.176,1027,9.250,6,2015,11,Nada
0.000,0,0.000,0.000,0,5.471,0,2015,12,Nada
0.000,0,0.000,0.000,0,7.154,0,2016,1,Nada
0.000,0,0.000,0.000,0,15.000,0,2016,2,Nada
0.000,0,0.000,0.000,0,1.513,0,2016,3,Nada
0.000,0,0.000,0.000,0,1.513,0,2016,4,Nada
0.000,0,0.000,0.000,0,1.513,0,2016,5,Nada
0.000,0,0.000,0.000,0,1.513,0,2016,6,Nada
1.000,20000,31.818,0.204,1299,1.513,5,2016,7,Poco
1.000,16000,31.818,0.235,1198,11.400,4,2016,8,Nada
1.333,16000,31.818,0.308,1566,5.000,4,2016,9,Nada
