KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
1.000,56000,22.159,1.077,13364,5.000,7,2013,12,23,Nada
1.000,56000,22.159,4.667,57909,0.692,7,2013,12,24,Mucho
1.000,48000,22.159,0.667,7091,0.000,6,2014,1,1,Medio
1.000,32000,22.159,0.250,1773,2.700,4,2014,1,2,Poco
1.000,56000,22.159,0.667,8273,2.471,7,2014,2,3,Poco
1.000,56000,22.159,0.609,7553,1.235,7,2014,2,4,Poco
1.000,8000,22.159,0.065,114,2.667,1,2014,3,5,Poco
0.000,0,0.000,0.000,0,3.000,0,2014,3,6,Nada
1.000,40000,22.159,0.400,3545,5.625,5,2014,4,7,Nada
1.000,32000,22.159,0.400,2836,5.000,4,2014,4,8,Nada
1.000,24000,35.668,0.353,3021,3.333,3,2014,5,9,Nada
0.000,0,0.000,0.000,0,1.750,0,2014,5,10,Nada
1.000,8000,35.668,0.154,439,3.000,1,2014,6,11,Poco
0.667,16000,35.668,0.400,2283,4.500,2,2014,6,12,Nada
1.000,16000,35.668,0.667,3805,1.513,2,2014,7,13,Poco
1.000,32000,35.668,1.000,11414,1.200,4,2014,7,14,Poco
1.000,32000,22.159,0.500,3545,2.250,4,2014,8,15,Poco
1.000,8000,22.159,0.105,187,3.000,1,2014,8,16,Poco
1.000,16000,22.159,0.250,886,3.000,2,2014,9,17,Poco
1.000,24000,22.159,0.316,1679,3.000,3,2014,9,18,Poco
0.000,0,0.000,0.000,0,6.000,0,2014,10,19,Nada
1.000,32000,22.159,0.400,2836,7.200,4,2014,10,20,Nada
1.000,16000,22.159,0.286,1013,3.429,2,2014,11,21,Nada
1.000,24000,22.159,0.353,1877,3.000,3,2014,11,22,Poco
1.000,24000,22.159,0.316,1679,3.667,3,2014,12,23,Nada
1.000,32000,22.159,0.500,3545,3.000,4,2014,12,24,Poco
1.000,56000,22.159,0.824,10219,2.400,7,2015,1,1,Poco
1.000,48500,22.962,1.000,11136,1.929,6,2015,1,2,Poco
1.000,51000,26.738,3.000,40909,0.529,6,2015,2,3,Medio
1.000,8500,26.738,2.000,4545,0.158,1,2015,2,4,Poco
1.000,25500,26.738,1.200,8182,0.000,3,2015,3,5,Medio
1.000,42500,26.738,0.526,5981,1.500,5,2015,3,6,Poco
1.000,34000,26.738,0.333,3030,4.667,4,2015,4,7,Nada
1.000,17000,26.738,0.133,606,2.500,2,2015,4,8,Poco
1.000,51000,26.738,0.353,4813,5.455,6,2015,5,9,Nada
1.000,34000,26.738,0.333,3030,3.500,4,2015,5,10,Nada
1.000,8500,26.738,0.105,239,2.500,1,2015,6,11,Poco
1.000,8500,26.738,0.095,216,2.455,1,2015,6,12,Poco
0.000,0,0.000,0.000,0,6.000,0,2015,7,13,Nada
2.000,51000,26.738,0.667,9091,1.513,6,2015,7,14,Poco
1.000,8500,26.738,0.087,198,2.571,1,2015,8,15,Poco
1.000,42500,26.738,0.357,4058,7.286,5,2015,8,16,Nada
1.250,42500,26.738,0.588,6684,2.750,5,2015,9,17,Poco
1.000,17000,26.738,0.222,1010,1.636,2,2015,9,18,Poco
1.000,17000,26.738,0.182,826,3.000,2,2015,10,19,Poco
1.667,42500,25.776,0.435,4763,3.333,5,2015,10,20,Nada
1.000,68000,21.928,0.889,13254,4.333,8,2015,11,21,Poco
1.000,25500,21.928,0.400,2237,1.000,3,2015,11,22,Poco
1.000,42500,21.928,0.667,6213,1.875,5,2015,12,23,Poco
1.125,76500,21.928,2.000,33550,0.938,9,2015,12,24,Mucho
1.200,51000,21.928,1.200,13420,0.706,6,2016,1,1,Medio
1.000,68000,21.928,1.000,14911,0.900,8,2016,1,2,Mucho
1.000,8500,21.928,0.074,138,1.304,1,2016,2,3,Poco
1.000,51000,21.928,0.429,4793,3.400,6,2016,2,4,Nada
1.000,17000,21.928,0.190,710,2.200,2,2016,3,5,Poco
1.000,51000,21.928,0.462,5161,3.333,6,2016,3,6,Nada
1.000,8500,21.928,0.065,120,3.429,1,2016,4,7,Nada
1.000,8500,21.928,0.069,129,5.000,1,2016,4,8,Nada
1.000,17000,21.928,0.118,439,5.250,2,2016,5,9,Nada
1.333,34000,21.928,0.267,1988,15.000,4,2016,5,10,Nada
1.000,51000,21.928,0.857,9586,4.286,6,2016,6,11,Nada
1.000,17000,21.928,0.400,1491,1.000,2,2016,6,12,Poco
1.000,17000,21.928,0.286,1065,1.500,2,2016,7,13,Poco
1.000,25500,17.112,0.462,2014,2.400,3,2016,7,14,Poco
1.000,25500,17.112,0.316,1378,2.143,3,2016,8,15,Poco
1.500,76500,17.112,0.947,12402,5.250,9,2016,8,16,Poco
1.000,8500,17.112,0.095,139,1.000,1,2016,9,17,Nada
1.000,21000,32.900,0.133,921,3.692,2,2016,9,18,Nada
