KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,SEMANA,RESULTADO
1.000,3000,32.621,0.090,88,11.667,3,2013,12,49,Nada
1.000,10000,32.621,0.370,1208,19.200,10,2013,12,50,Nada
0.875,7000,32.621,0.378,864,4.714,7,2013,12,51,Nada
1.000,14000,32.621,1.750,7992,2.250,14,2013,12,52,Poco
1.000,5000,32.621,10.000,16311,0.097,5,2013,12,53,Medio
1.000,2000,32.538,0.118,77,0.000,2,2014,1,2,Medio
1.000,4000,32.538,0.091,118,3.778,4,2014,1,3,Nada
1.000,5000,32.538,0.097,158,6.231,5,2014,1,4,Nada
1.000,3000,32.538,0.063,62,13.364,3,2014,1,5,Nada
1.094,35000,32.538,1.228,13986,11.500,35,2014,2,6,Nada
1.083,13000,32.538,0.578,2444,0.767,13,2014,2,7,Medio
1.000,6000,32.538,0.194,378,2.000,6,2014,2,8,Poco
1.143,8000,32.538,0.333,868,1.556,8,2014,2,9,Poco
1.000,9000,32.538,0.269,787,2.222,9,2014,3,10,Poco
1.000,8000,32.538,0.186,484,6.130,8,2014,3,11,Nada
1.000,8000,32.538,0.229,595,4.680,8,2014,3,12,Nada
1.000,2000,32.538,0.067,43,3.720,2,2014,3,13,Nada
1.000,4000,32.538,0.148,193,4.833,4,2014,3,14,Nada
0.917,11000,32.538,0.349,1250,5.357,11,2014,4,15,Nada
1.222,11000,32.538,0.338,1211,6.706,11,2014,4,16,Nada
1.056,19000,32.538,1.086,6712,3.115,19,2014,4,17,Nada
1.167,7000,32.538,1.556,3543,0.585,7,2014,4,18,Medio
0.000,0,0.000,0.000,0,0.081,0,2014,5,19,Nada
0.000,0,0.000,0.000,0,0.115,0,2014,5,20,Nada
1.000,1000,32.538,2.000,651,0.429,1,2014,5,21,Medio
1.000,5000,32.621,0.087,142,1.513,5,2014,5,22,Poco
1.182,13000,32.621,0.120,508,57.500,13,2014,6,23,Nada
0.917,11000,32.621,0.114,409,16.105,11,2014,6,24,Nada
1.167,14000,32.621,0.166,757,9.414,14,2014,6,25,Nada
1.000,16000,32.621,0.229,1193,6.158,16,2014,6,26,Nada
1.000,8000,32.621,0.138,360,4.537,8,2014,6,27,Nada
1.143,16000,32.621,0.348,1815,4.263,16,2014,7,28,Nada
1.778,16000,32.621,0.333,1740,2.850,16,2014,7,29,Poco
1.000,6000,32.621,0.109,214,4.350,6,2014,7,30,Nada
1.000,14000,32.621,0.311,1421,4.105,14,2014,7,31,Nada
1.200,30000,32.621,0.566,5539,3.167,30,2014,8,32,Nada
1.167,14000,32.621,0.230,1048,4.080,14,2014,8,33,Nada
1.000,6000,32.621,0.087,170,2.793,6,2014,8,34,Poco
0.900,9000,32.621,0.113,332,5.040,9,2014,8,35,Nada
1.059,18000,32.621,0.273,1601,7.759,18,2014,8,36,Nada
1.000,6000,32.621,0.111,217,5.182,6,2014,9,37,Nada
1.000,4000,32.621,0.051,66,4.636,4,2014,9,38,Nada
1.000,4000,32.621,0.038,50,11.464,4,2014,9,39,Nada
1.000,8000,32.621,0.081,211,22.071,8,2014,9,40,Nada
0.923,12000,32.621,0.135,528,17.813,12,2014,10,41,Nada
