KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
1065,33000,11749,4.400,51696,0.000,33,2013,12,Mucho
960,24000,8727,0.980,8549,1.023,24,2014,1,Medio
1000,13000,4727,0.388,1834,1.500,13,2014,2,Nada
1034,30000,10907,1.053,11481,1.414,30,2014,3,Medio
1000,15000,5455,0.909,4959,1.075,15,2014,4,Medio
1061,35000,12727,2.258,28739,0.466,35,2014,5,Mucho
1045,23000,8364,2.091,17488,0.825,23,2014,6,Medio
1050,21000,7636,3.818,29157,0.000,21,2014,7,Mucho
1000,17000,6182,1.172,7248,0.418,17,2014,8,Mucho
1067,16000,5818,1.103,6419,0.885,16,2014,9,Medio
1150,23000,8363,2.000,16726,0.611,23,2014,10,Medio
1073,44000,16000,3.143,50286,0.643,44,2014,11,Mucho
1125,45000,16363,1.915,31333,0.578,45,2014,12,Mucho
1125,18000,6545,0.818,5355,0.830,18,2015,1,Medio
1000,25000,9090,1.351,12284,0.364,25,2015,2,Mucho
1241,36000,13088,1.500,19633,0.818,36,2015,3,Mucho
1053,20000,7271,0.769,5593,0.911,20,2015,4,Mucho
1000,22000,7999,0.759,6068,1.037,22,2015,5,Mucho
1059,18000,6545,0.667,4363,1.154,18,2015,6,Mucho
1125,18000,6545,0.545,3570,1.200,18,2015,7,Mucho
1077,14000,5090,0.406,2065,2.172,14,2015,8,Nada
1167,7000,2545,0.237,604,1.620,7,2015,9,Nada
1071,15000,5454,0.405,2211,2.462,15,2015,10,Nada
1000,12000,4364,0.333,1455,3.500,12,2015,11,Nada
1000,45000,16364,1.304,21344,2.647,45,2015,12,Nada
1523,67000,24997,1.815,45366,1.625,49,2016,1,Medio
1500,13500,4908,0.400,1963,0.425,9,2016,2,Medio
1500,9000,3273,0.231,755,0.874,6,2016,3,Nada
1500,22500,8181,0.732,5986,1.031,15,2016,4,Mucho
1500,6000,2182,0.178,388,1.900,4,2016,5,Nada
1500,12000,4363,0.246,1074,3.120,8,2016,6,Nada
1500,10500,3818,0.192,732,4.333,7,2016,7,Nada
1500,7500,2727,0.133,364,5.368,5,2016,8,Nada
1438,34500,12544,0.780,9780,6.150,23,2016,9,Medio
