KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
3750,157500,59236,4.737,280593,1.378,45,2013,12,Mucho
3600,126000,47389,2.769,131231,0.073,36,2014,1,Mucho
3957,182000,68451,4.000,273804,0.610,52,2014,2,Medio
3500,42000,15796,0.727,11488,0.045,12,2014,3,Medio
3500,108500,40807,2.000,81615,0.930,31,2014,4,Medio
3500,66500,19945,3.455,68902,0.000,19,2014,5,Mucho
4100,143500,39136,7.455,291744,0.532,41,2014,6,Mucho
5250,63000,17182,3.000,51545,0.000,18,2014,7,Mucho
4500,157500,42955,6.000,257727,0.462,45,2014,8,Mucho
4177,129500,35318,3.895,137555,0.087,37,2014,9,Mucho
4000,140000,38182,2.353,89840,0.480,40,2014,10,Mucho
3775,192500,52500,2.683,140854,0.443,55,2014,11,Mucho
4083,171500,46773,3.630,169768,0.523,49,2014,12,Mucho
4083,220500,60136,2.800,168382,0.083,63,2015,1,Mucho
3973,147000,40091,2.100,84191,0.737,42,2015,2,Mucho
3750,105000,28636,-30.000,-859091,-0.019,30,2015,3,Nada
3500,101500,27682,2.000,55364,-0.022,29,2015,4,Mucho
3684,70000,19091,0.690,13166,0.891,20,2015,5,Mucho
3792,91000,24818,1.733,43018,1.063,26,2015,6,Medio
3967,59500,16227,2.000,32455,0.080,17,2015,7,Mucho
3635,94500,25773,1.636,42174,0.714,27,2015,8,Medio
3625,101500,27682,1.055,29192,0.771,29,2015,9,Medio
3609,115500,31500,0.930,29282,1.521,33,2015,10,Nada
3500,52500,14318,0.423,6050,1.146,15,2015,11,Mucho
3910,152500,48136,1.012,48731,1.442,41,2015,12,Mucho
4308,112000,40727,0.667,27152,1.483,28,2016,1,Mucho
4480,112000,40727,0.683,27814,1.429,28,2016,2,Mucho
4267,64000,23273,0.352,8184,1.299,16,2016,3,Nada
4160,104000,37818,0.722,27313,2.042,26,2016,4,Nada
4667,84000,30545,0.977,29835,0.986,21,2016,5,Medio
4000,56000,20364,0.848,17278,0.952,14,2016,6,Medio
4250,68000,24727,0.531,13136,0.639,17,2016,7,Mucho
4000,56000,20364,0.280,5702,2.942,14,2016,8,Nada
4000,76000,27636,0.475,13127,3.267,19,2016,9,Nada
