KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
4500,45000,12619,0.909,11472,5.000,10,2013,12,23,Medio
5400,54000,15143,2.000,30286,2.250,12,2013,12,24,Medio
6188,49500,13881,22.000,305381,0.000,11,2014,1,1,Mucho
4500,36000,10095,1.333,13460,0.091,8,2014,1,2,Mucho
4800,72000,20190,1.684,34005,1.065,16,2014,2,3,Mucho
5000,90000,25238,2.105,53133,0.686,20,2014,2,4,Mucho
4500,67500,18929,1.579,29887,0.750,15,2014,3,5,Medio
4714,99000,27762,4.000,111048,0.471,22,2014,3,6,Mucho
5250,31500,8833,0.609,5377,0.158,7,2014,4,7,Medio
5143,108000,30286,1.714,51918,1.364,24,2014,4,8,Medio
4500,45000,12619,1.111,14021,0.453,10,2014,5,9,Mucho
4500,54000,15143,1.200,18171,0.732,12,2014,5,10,Medio
4500,54000,15143,1.200,18171,0.652,12,2014,6,11,Medio
5063,40500,11357,0.857,9735,0.882,9,2014,6,12,Medio
5625,67500,18929,1.579,29887,1.000,15,2014,7,13,Medio
5500,49500,13881,0.957,13277,0.667,11,2014,7,14,Medio
4500,36000,10095,0.727,7342,1.286,8,2014,8,15,Mucho
6469,103500,29024,3.067,89006,0.618,23,2014,8,16,Mucho
4500,22500,6310,0.435,2743,0.571,5,2014,9,17,Medio
4500,49500,13881,1.158,16073,1.250,11,2014,9,18,Medio
6750,40500,11357,1.636,18584,0.308,9,2014,10,19,Mucho
4909,54000,15143,0.923,13978,0.840,12,2014,10,20,Medio
4500,63000,17667,0.778,13741,1.781,14,2014,11,21,Nada
4781,76500,21452,2.000,42905,1.457,17,2014,11,22,Mucho
4500,40500,11357,1.200,13629,0.000,9,2014,12,23,Mucho
4800,72000,20190,1.231,24850,1.125,16,2014,12,24,Mucho
5625,67500,18929,1.579,29887,0.786,15,2015,1,1,Medio
5143,72000,20190,2.667,53841,0.600,16,2015,1,2,Mucho
4500,76500,21452,2.267,48625,0.255,17,2015,2,3,Mucho
6158,117000,32810,2.600,85305,0.688,26,2015,2,4,Medio
4500,81000,22714,1.500,34071,0.458,18,2015,3,5,Mucho
5040,126000,35333,4.000,141333,0.738,28,2015,3,6,Medio
5029,85500,23976,12.667,303698,-0.042,19,2015,4,7,Mucho
5294,90000,25238,3.333,84127,0.185,20,2015,4,8,Mucho
4750,85500,23976,1.810,43385,0.358,19,2015,5,9,Mucho
5220,130500,36595,2.762,101073,0.672,29,2015,5,10,Medio
4950,99000,27762,7.333,203587,0.353,22,2015,6,11,Mucho
5211,99000,27762,-22.000,-610762,-0.086,22,2015,6,12,Nada
5143,108000,30286,4.000,121143,0.000,24,2015,7,13,Mucho
4667,126000,35333,2.800,98933,0.529,28,2015,7,14,Mucho
5885,76500,22024,2.000,44048,0.324,17,2015,8,15,Mucho
4821,67500,21786,2.143,46684,0.391,15,2015,8,16,Mucho
5727,63000,20333,1.400,28467,0.250,14,2015,9,17,Mucho
5143,72000,23238,1.231,28601,0.978,16,2015,9,18,Mucho
5447,103500,33405,2.000,66810,0.733,23,2015,10,19,Mucho
5538,72000,23238,1.600,37181,0.679,16,2015,10,20,Mucho
5143,36000,11619,0.800,9295,0.436,8,2015,11,21,Medio
5250,63000,20333,1.273,25879,0.766,14,2015,11,22,Medio
6750,54000,17429,1.200,20914,0.789,12,2015,12,23,Medio
4950,99000,31952,4.400,140590,0.882,22,2015,12,24,Mucho
5625,67500,21786,3.333,72619,0.000,15,2016,1,1,Mucho
7071,99000,31952,1.375,43935,0.551,22,2016,1,2,Mucho
5500,49500,15976,0.468,7478,1.169,11,2016,2,3,Mucho
4821,67500,21786,0.909,19805,1.500,15,2016,2,4,Medio
4875,58500,20024,0.634,12698,0.563,13,2016,3,5,Medio
5885,153000,55857,1.619,90435,2.462,34,2016,3,6,Medio
5727,63000,23571,0.933,22000,0.484,14,2016,4,7,Mucho
5250,63000,27000,1.077,29077,0.984,14,2016,4,8,Medio
4500,13500,5786,0.667,3857,0.290,3,2016,5,9,Medio
5786,40500,12214,1.000,12214,0.290,9,2016,5,10,Mucho
5192,67500,20357,0.769,15659,1.731,15,2016,6,11,Nada
5500,49500,14929,0.595,8876,2.667,11,2016,6,12,Nada
5192,67500,17786,1.364,24253,1.114,15,2016,7,13,Medio
7875,63000,15000,1.000,15000,0.659,14,2016,7,14,Medio
7875,31500,7310,0.326,2380,1.425,7,2016,8,15,Nada
5850,58500,12690,0.743,9427,2.000,13,2016,8,16,Nada
5318,58500,12690,0.813,10311,0.971,13,2016,9,17,Medio
5250,63000,13667,0.824,11255,1.909,14,2016,9,18,Medio
