KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,SEMANA,RESULTADO
0,0,0,0.000,0,12.000,0,2013,12,49,Nada
0,0,0,0.000,0,12.000,0,2013,12,50,Nada
4600,4600,1730,0.286,494,12.000,1,2013,12,51,Nada
4600,9200,3460,0.400,1384,9.000,2,2013,12,52,Medio
9200,9200,3460,0.333,1153,7.000,2,2013,12,53,Nada
4600,4600,1730,0.222,384,3.000,1,2014,1,1,Nada
0,0,0,0.000,0,2.400,0,2014,1,2,Nada
0,0,0,0.000,0,4.000,0,2014,1,3,Nada
4600,4600,1730,0.286,494,12.000,1,2014,1,4,Nada
4600,4600,1730,0.400,692,9.000,1,2014,1,5,Nada
0,0,0,0.000,0,3.000,0,2014,2,6,Nada
0,0,0,0.000,0,3.000,0,2014,2,7,Nada
6900,13800,5190,1.200,6228,6.000,3,2014,2,8,Nada
0,0,0,0.000,0,3.000,0,2014,2,9,Nada
9200,9200,3460,1.000,3460,3.000,2,2014,3,10,Nada
4600,4600,1730,0.333,577,0.600,1,2014,3,11,Nada
4600,9200,3460,0.500,1730,5.000,2,2014,3,12,Medio
4600,4600,1730,0.500,865,1.800,1,2014,3,13,Nada
0,0,0,0.000,0,0.750,0,2014,3,14,Nada
4600,4600,1730,0.286,494,4.000,1,2014,4,15,Nada
4600,4600,1730,0.400,692,4.500,1,2014,4,16,Nada
4600,4600,1730,0.667,1153,3.000,1,2014,4,17,Nada
4600,4600,1730,2.000,3460,1.000,1,2014,4,18,Medio
0,0,0,0.000,0,0.000,0,2014,5,19,Nada
0,0,0,0.000,0,0.000,0,2014,5,20,Nada
0,0,0,0.000,0,0.000,0,2014,5,21,Nada
0,0,0,0.000,0,0.000,0,2014,5,22,Nada
0,0,0,0.000,0,0.000,0,2014,6,23,Nada
0,0,0,0.000,0,0.000,0,2014,6,24,Nada
0,0,0,0.000,0,0.000,0,2014,6,25,Nada
0,0,0,0.000,0,0.000,0,2014,6,26,Nada
0,0,0,0.000,0,0.000,0,2014,6,27,Nada
0,0,0,0.000,0,0.000,0,2014,7,28,Nada
0,0,0,0.000,0,1.000,0,2014,7,29,Nada
4600,9200,3460,0.267,923,1.000,2,2014,7,30,Nada
0,0,0,0.000,0,15.000,0,2014,7,31,Nada
4600,4600,1730,0.105,182,15.000,1,2014,8,32,Nada
4600,4600,1730,0.118,204,9.000,1,2014,8,33,Nada
4600,4600,1730,0.133,231,12.000,1,2014,8,34,Nada
4600,9200,3460,0.333,1153,7.000,2,2014,8,35,Nada
4600,13800,5190,0.857,4449,3.750,3,2014,8,36,Nada
4600,4600,1240,0.222,276,1.000,1,2014,9,37,Nada
0,0,0,0.000,0,3.500,0,2014,9,38,Nada
4600,4600,1240,0.154,191,5.250,1,2014,9,39,Nada
4600,9200,2480,0.400,992,9.000,2,2014,9,40,Medio
0,0,0,0.000,0,4.000,0,2014,10,41,Nada
4600,13800,3720,1.200,4464,4.000,3,2014,10,42,Nada
0,0,0,0.000,0,0.600,0,2014,10,43,Nada
4600,4600,1240,2.000,2480,1.000,1,2014,10,44,Medio
0,0,0,0.000,0,0.000,0,2014,11,45,Nada
0,0,0,0.000,0,0.000,0,2014,11,46,Nada
0,0,0,0.000,0,24.000,0,2014,11,47,Nada
4600,9200,2480,0.286,709,1.000,2,2014,11,48,Nada
