@relation conjunto_entrenamiento_datos-weka.filters.supervised.instance.Resample-B0.0-S1-Z400.0-no-replacement

@attribute kpi_tiket_medio numeric
@attribute kpi_cifra_ventas numeric
@attribute kpi_margen_comercial numeric
@attribute kpi_rotacion_stock numeric
@attribute kpi_coef_rentabilidad numeric
@attribute kpi_cobertura_stock numeric
@attribute cantidad numeric
@attribute kpi_mes numeric
@attribute kpi_anho numeric
@attribute resultado {Nada,Medio,Mucho}

@data
35086,18595500,4524100,2.43,11005743,0.98,1771,1,2014,Nada
44300,8993000,2283909,0.51,1174239,1.98,782,8,2015,Nada
41080,9284000,2263455,1.43,3240637,0.46,844,6,2016,Nada
39925,16010000,3347545,4.14,13848631,0.03,1601,2,2016,Nada
41121,17682000,4445542,2.44,10826164,0.46,1684,12,2014,Nada
33504,9481500,2392482,1.8,4316506,0.1,903,5,2014,Nada
34721,11770500,2970115,1.63,4828859,0.77,1121,11,2014,Nada
35601,12852000,3261753,1.24,4044970,0.64,1224,1,2015,Nada
29707,6090000,1724182,0.95,1631363,0.97,580,6,2014,Nada
42623,13000000,2718182,0.83,2255033,0.32,1300,3,2016,Nada
36680,13828500,3584635,1.6,5750260,0.8,1317,10,2014,Nada
32832,9061500,2352693,1.92,4521991,0.15,863,9,2014,Nada
46350,15110000,3159364,0.89,2802347,1.34,1511,4,2016,Nada
32561,9670500,2352736,2.07,4869371,0.23,921,3,2014,Nada
32633,10279500,2500900,3.43,8575766,0.39,979,4,2014,Nada
53582,9752000,2351273,1.24,2906530,0.7,848,5,2015,Nada
35775,11448000,2190545,1.44,3146245,0.67,1144,5,2016,Nada
40265,15180000,3700909,2.74,10123399,0.55,1380,9,2016,Nada
48704,11835000,2723727,0.81,2199603,2.85,1152,11,2015,Nada
51602,9133500,2439682,0.5,1215798,2.2,827,10,2015,Nada
40286,15752000,3840364,4.3,16514717,0,1432,8,2016,Nada
32138,7938000,2247274,1.39,3134574,0.39,756,7,2014,Nada
41856,4646000,1120182,1.04,1160393,0.6,404,6,2015,Nada
56346,11551000,2038273,1.16,2357260,1.02,1090,4,2015,Nada
56096,12285000,2760527,0.85,2348958,1.26,1170,3,2015,Nada
34888,13083000,3704018,2.79,10336409,1.02,1246,8,2014,Nada
30999,10384500,2526445,3.19,8047197,0.11,989,2,2014,Nada
38815,14905000,3633864,4.74,17216382,0.49,1355,7,2016,Nada
57281,26750000,5593182,4.37,24427365,1.01,2675,12,2015,Medio
45536,5646500,1405500,0.75,1053589,0.2,491,7,2015,Medio
40649,5853500,1688955,0.32,537971,3.38,509,9,2015,Medio
39136,27552000,6703127,2.87,19243989,1.45,2624,12,2013,Medio
36966,9870000,2401273,0.69,1665828,0.82,940,2,2015,Mucho
43791,25180000,5264909,11.39,59986611,0.25,2518,1,2016,Mucho
