modelo;NINS;PACI;PDES;KSTA;MAERR;RAERR;RMSERR;RRSERR;Nada_TPRA;Nada_FPRA;Nada_TNRA;Nada_FNRA;Nada_PREC;Nada_RCALL;Nada_FMEA;Nada_MCC;Nada_ROCA;Nada_PRCA;Poco_TPRA;Poco_FPRA;Poco_TNRA;Poco_FNRA;Poco_PREC;Poco_RCALL;Poco_FMEA;Poco_MCC;Poco_ROCA;Poco_PRCA;Medio_TPRA;Medio_FPRA;Medio_TNRA;Medio_FNRA;Medio_PREC;Medio_RCALL;Medio_FMEA;Medio_MCC;Medio_ROCA;Medio_PRCA;Mucho_TPRA;Mucho_FPRA;Mucho_TNRA;Mucho_FNRA;Mucho_PREC;Mucho_RCALL;Mucho_FMEA;Mucho_MCC;Mucho_ROCA;Mucho_PRCA;tipo_evaluacion;producto_evaluado;modelo;NINS;PACI;PDES;KSTA;MAERR;RAERR;RMSERR;RRSERR;Nada_TPRA;Nada_FPRA;Nada_TNRA;Nada_FNRA;Nada_PREC;Nada_RCALL;Nada_FMEA;Nada_MCC;Nada_ROCA;Nada_PRCA;Poco_TPRA;Poco_FPRA;Poco_TNRA;Poco_FNRA;Poco_PREC;Poco_RCALL;Poco_FMEA;Poco_MCC;Poco_ROCA;Poco_PRCA;Medio_TPRA;Medio_FPRA;Medio_TNRA;Medio_FNRA;Medio_PREC;Medio_RCALL;Medio_FMEA;Medio_MCC;Medio_ROCA;Medio_PRCA;Mucho_TPRA;Mucho_FPRA;Mucho_TNRA;Mucho_FNRA;Mucho_PREC;Mucho_RCALL;Mucho_FMEA;Mucho_MCC;Mucho_ROCA;Mucho_PRCA;tipo_evaluacion;producto_evaluado;
weka.classifiers.bayes.BayesNet;150.00;98.67;1.33;0.97;0.01;3.04;0.07;18.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.98;0.00;1.00;0.02;1.00;0.98;0.99;0.96;1.00;1.00;1.00;0.02;0.98;0.00;0.90;1.00;0.95;0.94;1.00;1.00;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.bayes.NaiveBayes;150.00;90.00;10.00;0.76;0.08;29.19;0.24;66.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.03;0.97;0.00;0.82;1.00;0.90;0.89;0.99;0.94;0.90;0.11;0.89;0.10;0.96;0.90;0.93;0.75;0.91;0.97;0.78;0.05;0.95;0.22;0.67;0.78;0.72;0.68;0.95;0.72;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.bayes.NaiveBayesUpdateable;150.00;90.00;10.00;0.76;0.08;29.19;0.24;66.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.03;0.97;0.00;0.82;1.00;0.90;0.89;0.99;0.94;0.90;0.11;0.89;0.10;0.96;0.90;0.93;0.75;0.91;0.97;0.78;0.05;0.95;0.22;0.67;0.78;0.72;0.68;0.95;0.72;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.functions.Logistic;150.00;99.33;0.67;0.98;0.00;1.67;0.07;18.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.99;0.00;1.00;0.01;1.00;0.99;1.00;0.98;1.00;1.00;1.00;0.01;0.99;0.00;0.95;1.00;0.97;0.97;1.00;0.98;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.functions.MultilayerPerceptron;150.00;97.33;2.67;0.93;0.03;12.42;0.12;33.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.11;0.89;0.00;0.97;1.00;0.98;0.93;0.94;0.93;0.78;0.00;1.00;0.22;1.00;0.78;0.88;0.87;0.90;0.88;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.functions.SimpleLogistic;150.00;98.00;2.00;0.95;0.03;12.26;0.12;32.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.97;0.00;1.00;0.03;1.00;0.97;0.99;0.95;1.00;1.00;1.00;0.02;0.98;0.00;0.86;1.00;0.92;0.92;0.99;0.95;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.functions.SMO;150.00;90.00;10.00;0.71;0.24;91.71;0.31;85.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;1.00;0.50;1.00;0.50;0.67;0.68;0.86;0.60;0.98;0.36;0.64;0.02;0.90;0.98;0.94;0.71;0.81;0.89;0.78;0.02;0.98;0.22;0.88;0.78;0.82;0.80;0.96;0.75;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.rules.OneR;150.00;91.33;8.67;0.78;0.06;21.68;0.24;66.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.94;0.17;0.83;0.06;0.95;0.94;0.94;0.76;0.89;0.94;0.67;0.05;0.95;0.33;0.63;0.67;0.65;0.60;0.81;0.46;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.rules.DecisionTable;150.00;100.00;0.00;1.00;0.11;40.03;0.14;39.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;crossEstratificado;KPI/MENSUAL/100.csv;
weka.classifiers.rules.JRip;150.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;crossEstratificado;KPI/MENSUAL/100.csv;
