modelo;NINS;PACI;PDES;KSTA;MAERR;RAERR;RMSERR;RRSERR;Nada_TPRA;Nada_FPRA;Nada_TNRA;Nada_FNRA;Nada_PREC;Nada_RCALL;Nada_FMEA;Nada_MCC;Nada_ROCA;Nada_PRCA;Poco_TPRA;Poco_FPRA;Poco_TNRA;Poco_FNRA;Poco_PREC;Poco_RCALL;Poco_FMEA;Poco_MCC;Poco_ROCA;Poco_PRCA;Medio_TPRA;Medio_FPRA;Medio_TNRA;Medio_FNRA;Medio_PREC;Medio_RCALL;Medio_FMEA;Medio_MCC;Medio_ROCA;Medio_PRCA;Mucho_TPRA;Mucho_FPRA;Mucho_TNRA;Mucho_FNRA;Mucho_PREC;Mucho_RCALL;Mucho_FMEA;Mucho_MCC;Mucho_ROCA;Mucho_PRCA;tipo_evaluacion;producto_evaluado;
weka.classifiers.bayes.BayesNet;60.00;98.33;1.67;0.96;0.02;7.42;0.10;25.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.98;0.00;1.00;0.02;1.00;0.98;0.99;0.96;1.00;1.00;1.00;0.02;0.98;0.00;0.91;1.00;0.95;0.94;1.00;0.96;split;KPI/MENSUAL/100.csv;
weka.classifiers.bayes.NaiveBayes;60.00;81.67;18.33;0.63;0.12;41.05;0.32;85.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.07;0.93;0.00;0.60;1.00;0.75;0.75;0.98;0.87;0.80;0.13;0.88;0.20;0.95;0.80;0.86;0.61;0.93;0.98;0.80;0.10;0.90;0.20;0.62;0.80;0.70;0.63;0.96;0.85;split;KPI/MENSUAL/100.csv;
weka.classifiers.bayes.NaiveBayesUpdateable;60.00;81.67;18.33;0.63;0.12;41.05;0.32;85.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.07;0.93;0.00;0.60;1.00;0.75;0.75;0.98;0.87;0.80;0.13;0.88;0.20;0.95;0.80;0.86;0.61;0.93;0.98;0.80;0.10;0.90;0.20;0.62;0.80;0.70;0.63;0.96;0.85;split;KPI/MENSUAL/100.csv;
weka.classifiers.functions.Logistic;60.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/100.csv;
weka.classifiers.functions.MultilayerPerceptron;60.00;96.67;3.33;0.92;0.05;16.09;0.15;39.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.13;0.88;0.00;0.96;1.00;0.98;0.91;0.92;0.96;0.80;0.00;1.00;0.20;1.00;0.80;0.89;0.88;0.94;0.88;split;KPI/MENSUAL/100.csv;
weka.classifiers.functions.SimpleLogistic;60.00;96.67;3.33;0.92;0.06;18.97;0.14;37.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.13;0.88;0.00;0.96;1.00;0.98;0.91;0.99;1.00;0.80;0.00;1.00;0.20;1.00;0.80;0.89;0.88;0.99;0.97;split;KPI/MENSUAL/100.csv;
weka.classifiers.functions.SMO;60.00;93.33;6.67;0.83;0.24;81.55;0.30;79.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.67;0.00;1.00;0.33;1.00;0.67;0.80;0.80;0.92;0.73;1.00;0.25;0.75;0.00;0.92;1.00;0.96;0.83;0.88;0.92;0.80;0.00;1.00;0.20;1.00;0.80;0.89;0.88;0.96;0.87;split;KPI/MENSUAL/100.csv;
weka.classifiers.rules.OneR;60.00;83.33;16.67;0.49;0.11;38.23;0.33;88.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.63;0.38;0.00;0.81;1.00;0.90;0.55;0.69;0.81;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.50;0.17;split;KPI/MENSUAL/100.csv;
weka.classifiers.rules.DecisionTable;60.00;100.00;0.00;1.00;0.16;53.77;0.19;50.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/100.csv;
weka.classifiers.rules.JRip;60.00;100.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;split;KPI/MENSUAL/100.csv;
